Quantidade de componentes conexas: 1648

Componente 1: tamanho = 38411
Componente 2: tamanho = 118
Componente 3: tamanho = 9
Componente 4: tamanho = 5
Componente 5: tamanho = 14
Componente 6: tamanho = 4
Componente 7: tamanho = 6
Componente 8: tamanho = 3
Componente 9: tamanho = 3
Componente 10: tamanho = 7
Componente 11: tamanho = 5
Componente 12: tamanho = 5
Componente 13: tamanho = 19
Componente 14: tamanho = 10
Componente 15: tamanho = 13
Componente 16: tamanho = 9
Componente 17: tamanho = 9
Componente 18: tamanho = 14
Componente 19: tamanho = 2
Componente 20: tamanho = 7
Componente 21: tamanho = 8
Componente 22: tamanho = 33
Componente 23: tamanho = 2
Componente 24: tamanho = 7
Componente 25: tamanho = 3
Componente 26: tamanho = 19
Componente 27: tamanho = 3
Componente 28: tamanho = 8
Componente 29: tamanho = 2
Componente 30: tamanho = 6
Componente 31: tamanho = 3
Componente 32: tamanho = 8
Componente 33: tamanho = 5
Componente 34: tamanho = 5
Componente 35: tamanho = 6
Componente 36: tamanho = 3
Componente 37: tamanho = 11
Componente 38: tamanho = 3
Componente 39: tamanho = 14
Componente 40: tamanho = 4
Componente 41: tamanho = 4
Componente 42: tamanho = 3
Componente 43: tamanho = 9
Componente 44: tamanho = 5
Componente 45: tamanho = 24
Componente 46: tamanho = 6
Componente 47: tamanho = 4
Componente 48: tamanho = 4
Componente 49: tamanho = 2
Componente 50: tamanho = 5
Componente 51: tamanho = 7
Componente 52: tamanho = 9
Componente 53: tamanho = 6
Componente 54: tamanho = 4
Componente 55: tamanho = 2
Componente 56: tamanho = 3
Componente 57: tamanho = 3
Componente 58: tamanho = 9
Componente 59: tamanho = 4
Componente 60: tamanho = 3
Componente 61: tamanho = 3
Componente 62: tamanho = 4
Componente 63: tamanho = 60
Componente 64: tamanho = 3
Componente 65: tamanho = 24
Componente 66: tamanho = 2
Componente 67: tamanho = 4
Componente 68: tamanho = 19
Componente 69: tamanho = 3
Componente 70: tamanho = 8
Componente 71: tamanho = 30
Componente 72: tamanho = 7
Componente 73: tamanho = 12
Componente 74: tamanho = 7
Componente 75: tamanho = 9
Componente 76: tamanho = 5
Componente 77: tamanho = 6
Componente 78: tamanho = 4
Componente 79: tamanho = 8
Componente 80: tamanho = 2
Componente 81: tamanho = 3
Componente 82: tamanho = 6
Componente 83: tamanho = 7
Componente 84: tamanho = 2
Componente 85: tamanho = 9
Componente 86: tamanho = 3
Componente 87: tamanho = 6
Componente 88: tamanho = 3
Componente 89: tamanho = 21
Componente 90: tamanho = 10
Componente 91: tamanho = 15
Componente 92: tamanho = 19
Componente 93: tamanho = 5
Componente 94: tamanho = 9
Componente 95: tamanho = 2
Componente 96: tamanho = 11
Componente 97: tamanho = 6
Componente 98: tamanho = 16
Componente 99: tamanho = 2
Componente 100: tamanho = 6
Componente 101: tamanho = 3
Componente 102: tamanho = 3
Componente 103: tamanho = 5
Componente 104: tamanho = 4
Componente 105: tamanho = 2
Componente 106: tamanho = 5
Componente 107: tamanho = 3
Componente 108: tamanho = 3
Componente 109: tamanho = 2
Componente 110: tamanho = 3
