Node - Centrality
ANUPAM KHER - 0.0076
DANNY TREJO - 0.0056
AMITABH BACHCHAN - 0.0053
PARESH RAWAL - 0.0052
MORGAN FREEMAN - 0.0051
JOHN GOODMAN - 0.0051
SAMUEL L. JACKSON - 0.0050
PAUL GIAMATTI - 0.0048
FRED ARMISEN - 0.0047
SHAH RUKH KHAN - 0.0047
AKSHAY KUMAR - 0.0045
OM PURI - 0.0045
JASON SUDEIKIS - 0.0044
NASEERUDDIN SHAH - 0.0044
NICOLAS CAGE - 0.0044
ANIL KAPOOR - 0.0043
BRUCE WILLIS - 0.0043
WILLEM DAFOE - 0.0043
LIEV SCHREIBER - 0.0042
DENNIS QUAID - 0.0042
ASRANI - 0.0041
JOHN MICHAEL HIGGINS - 0.0041
JAMES FRANCO - 0.0041
BOMAN IRANI - 0.0039
CAMERON DIAZ - 0.0039
STEVE BUSCEMI - 0.0039
PRAKASH RAJ - 0.0039
SANJAY MISHRA - 0.0039
MOLLY SHANNON - 0.0038
JANE LYNCH - 0.0038
JAMES CROMWELL - 0.0038
JULIA ROBERTS - 0.0038
MAYA RUDOLPH - 0.0038
BEN KINGSLEY - 0.0038
JOHNNY DEPP - 0.0037
JOAN CUSACK - 0.0037
TERRENCE HOWARD - 0.0036
ROY ROGERS - 0.0036
GULSHAN GROVER - 0.0036
JONAH HILL - 0.0036
RAY LIOTTA - 0.0036
ADAM SANDLER - 0.0035
KEITH DAVID - 0.0035
JOHN LEGUIZAMO - 0.0035
RAJESH SHARMA - 0.0035
KAY KAY MENON - 0.0035
ALFRED MOLINA - 0.0035
SHARAT SAXENA - 0.0035
VIOLA DAVIS - 0.0034
FRED TATASCIORE - 0.0034
STANLEY TUCCI - 0.0034
ROBERT PATRICK - 0.0034
DENIS O'HARE - 0.0033
JOHN TRAVOLTA - 0.0033
HALLE BERRY - 0.0033
JOHN ABRAHAM - 0.0033
TOM WILKINSON - 0.0033
EWAN MCGREGOR - 0.0033
JIM BROADBENT - 0.0033
JACKIE SHROFF - 0.0033
DANNY DEVITO - 0.0033
GREG KINNEAR - 0.0033
BENEDICT CUMBERBATCH - 0.0033
GUY PEARCE - 0.0033
JEFF GARLIN - 0.0033
IDRIS ELBA - 0.0033
JIM CUMMINGS - 0.0033
JAMES MARSDEN - 0.0033
WILLIAM H. MACY - 0.0032
SALMAN KHAN - 0.0032
HELEN MIRREN - 0.0032
BOBBY CANNAVALE - 0.0032
EMMA STONE - 0.0032
YASHPAL SHARMA - 0.0032
GARY OLDMAN - 0.0032
KAREENA KAPOOR - 0.0032
LIAM NEESON - 0.0032
ROBERT DE NIRO - 0.0032
JAMES MCAVOY - 0.0032
VANESSA REDGRAVE - 0.0032
BRADLEY COOPER - 0.0031
EDDIE KANE - 0.0031
SAIF ALI KHAN - 0.0031
RANI MUKERJI - 0.0031
ZACH GALIFIANAKIS - 0.0031
MIKE EPPS - 0.0031
KATHY BATES - 0.0031
PATRICK WARBURTON - 0.0031
NASSAR - 0.0031
JAMES REMAR - 0.0031
WILLIAM GOULD - 0.0031
DERMOT MULRONEY - 0.0030
LAKE BELL - 0.0030
ALISON PILL - 0.0030
MANOJ JOSHI - 0.0030
HARVEY KEITEL - 0.0030
LUKE WILSON - 0.0030
KULBHUSHAN KHARBANDA - 0.0030
NAWAZUDDIN SIDDIQUI - 0.0030
PIERCE BROSNAN - 0.0030
RAJPAL YADAV - 0.0030
JOHN WAYNE - 0.0030
GERARD BUTLER - 0.0030
JUSTIN LONG - 0.0030
SAM SHEPARD - 0.0030
QUEEN LATIFAH - 0.0030
BESS FLOWERS - 0.0030
JOHN C. REILLY - 0.0029
SUSAN SARANDON - 0.0029
SACHIN KHEDEKAR - 0.0029
SHAKTI KAPOOR - 0.0029
CLIVE OWEN - 0.0029
SANJAY DUTT - 0.0029
STEVE CARELL - 0.0029
VIJAY RAAZ - 0.0029
MICHAEL MADSEN - 0.0029
DON CHEADLE - 0.0029
MICHAEL PEÑA - 0.0029
WILL FORTE - 0.0029
KATE WINSLET - 0.0029
TINNU ANAND - 0.0029
KATRINA KAIF - 0.0029
CHLOË GRACE MORETZ - 0.0028
CHRISTOPHER PLUMMER - 0.0028
IRRFAN KHAN - 0.0028
JANE KRAKOWSKI - 0.0028
AMY ADAMS - 0.0028
PRIYANKA CHOPRA - 0.0028
MICHAEL GAMBON - 0.0028
HARRISON FORD - 0.0028
AMRISH PURI - 0.0028
MERYL STREEP - 0.0028
BILL NIGHY - 0.0028
STEVE ZAHN - 0.0028
SETH ROGEN - 0.0027
VIDYA BALAN - 0.0027
MARK WAHLBERG - 0.0027
MARY STEENBURGEN - 0.0027
OLGA KURYLENKO - 0.0027
AAMIR KHAN - 0.0027
MICHAEL SHEEN - 0.0027
SALMA HAYEK - 0.0027
CARLA GUGINO - 0.0027
FRANK SINATRA - 0.0027
NAOMI WATTS - 0.0027
